18:33:28,522 INFO  [App] Injecting checker: TypeCardinalityChecker
18:33:28,548 INFO  [App] Injecting checker: CardinalityChecker
18:33:28,549 INFO  [App] Injecting checker: DocumentTypeLister
18:33:28,597 INFO  [App] Starting esync...
18:33:28,602 INFO  [App] Executing 3 checkers with a pool of 3 thread(s).
18:33:28,608 INFO  [InfoListener] TypeCardinalityChecker: Starting
18:33:28,609 INFO  [InfoListener] CardinalityChecker: Starting
18:34:21,466 ERROR [ErrorListener] CardinalityChecker: Different number of documents (except: versions, internal types), expected 883891 actual 882546, diff=1345
18:34:21,500 INFO  [InfoListener] CardinalityChecker: Same number of proxy documents: 0
18:34:21,869 ERROR [ErrorListener] CardinalityChecker: Different number of version documents, expected 67389 actual 67377, diff=12
18:34:22,236 INFO  [InfoListener] TypeCardinalityChecker: Difference found in types cardinality.
18:34:22,236 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: Unit, expected: 240
18:34:22,237 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: WCOpenSocial, expected: 200
18:34:22,237 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: Space, expected: 40
18:34:22,237 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: TemplateSource, expected: 9
18:34:22,237 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: Complex, expected: 5
18:34:22,238 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: nxtrProject, expected: 3
18:34:22,238 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: CustomerReference, expected: 2
18:34:22,238 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: nxtrPortfolio, expected: 1
18:34:22,238 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: InterventionStatement, expected: 1
18:34:22,239 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: nxtrSamplesContainer, expected: 1
18:34:22,239 ERROR [ErrorListener] TypeCardinalityChecker: Missing type on ES: WebTemplateSource, expected: 1
18:34:22,239 ERROR [ErrorListener] TypeCardinalityChecker: Document type SampleCustomPicture (including versions), expected: 843872, actual: 843421, diff: 451
18:34:30,375 INFO  [InfoListener] CardinalityChecker: Same number of orphan documents (except: versions, internal types): 36
18:34:30,377 INFO  [InfoListener] CardinalityChecker: Terminated
18:36:48,883 INFO  [InfoListener] DocumentTypeLister: Starting
18:36:48,883 INFO  [InfoListener] DocumentTypeLister: Missing 451 documents for type: SampleCustomPicture
18:36:48,884 ERROR [MissingListener] MISS: 2d7675bd-0bb7-4112-a901-4fc4aa6492de, type SampleCustomPicture
18:36:48,884 ERROR [MissingListener] MISS: 80922f5a-6de4-485e-9b81-9ee9876da056, type SampleCustomPicture
18:36:48,885 ERROR [MissingListener] MISS: e5671b19-b134-486d-8fc4-c6c3ceb1e2d0, type SampleCustomPicture
18:36:48,885 ERROR [MissingListener] MISS: 4036f8a3-ae59-46e5-a720-2e5191c62ac5, type SampleCustomPicture
18:36:48,885 ERROR [MissingListener] MISS: d13caf18-cf23-4b70-a959-fb9a85fceb69, type SampleCustomPicture
18:36:48,885 ERROR [MissingListener] MISS: c2942b51-8811-4026-b906-7c9dd555b641, type SampleCustomPicture
18:36:48,885 ERROR [MissingListener] MISS: 6a9cfd33-f78d-4b6e-b0cf-e4c421e5da88, type SampleCustomPicture
18:36:48,885 ERROR [MissingListener] MISS: 25306273-84d6-4a10-b1cd-76cfb2cd4f45, type SampleCustomPicture
18:36:48,886 ERROR [MissingListener] MISS: 7bed75b3-bd31-43f2-920f-473942ed2b7a, type SampleCustomPicture
18:36:48,886 ERROR [MissingListener] MISS: 59be9dce-d254-450c-b160-81f579e10602, type SampleCustomPicture
18:36:48,886 ERROR [MissingListener] MISS: fffa693b-db83-4ca0-b4d5-832341886696, type SampleCustomPicture
18:36:48,886 ERROR [MissingListener] MISS: d3d5195b-1bac-49ad-89a7-d47aab65e99b, type SampleCustomPicture
18:36:48,886 ERROR [MissingListener] MISS: 21399837-107a-428e-b4fd-7f8bf374930e, type SampleCustomPicture
18:36:48,886 ERROR [MissingListener] MISS: 5dfb3489-dde3-47d5-8fbd-9a2dd4634c44, type SampleCustomPicture
18:36:48,886 ERROR [MissingListener] MISS: 3244da92-6abf-401a-a498-8a4be68c7884, type SampleCustomPicture
18:36:48,887 ERROR [MissingListener] MISS: a7cd5dca-555d-4648-9f21-c89b0488116f, type SampleCustomPicture
18:36:48,887 ERROR [MissingListener] MISS: c800fcb1-a8cc-4999-9a26-a3c7d074e843, type SampleCustomPicture
18:36:48,887 ERROR [MissingListener] MISS: beb58d4a-7f00-4132-8d1f-e2f9be87d697, type SampleCustomPicture
18:36:48,887 ERROR [MissingListener] MISS: 188374ea-123d-4edd-9112-e93689eafab7, type SampleCustomPicture
18:36:48,887 ERROR [MissingListener] MISS: ec5a7e19-7168-4e86-a7b9-f5dc9f2c42ba, type SampleCustomPicture
18:36:48,888 ERROR [MissingListener] MISS: 1eba009d-8364-43a6-b1c9-d8afae5e4f43, type SampleCustomPicture
18:36:48,888 ERROR [MissingListener] MISS: e9655bd7-9161-4a0c-be6b-fe73e38e135e, type SampleCustomPicture
18:36:48,888 ERROR [MissingListener] MISS: dbe2530b-d6ac-4a34-b07e-262d37a9d738, type SampleCustomPicture
18:36:48,888 ERROR [MissingListener] MISS: ac3364fb-73de-4709-b3a7-387894c60407, type SampleCustomPicture
18:36:48,888 ERROR [MissingListener] MISS: 6157f345-24d3-431e-a2c3-a1a4d98a1cc6, type SampleCustomPicture
18:36:48,889 ERROR [MissingListener] MISS: 8c3ec3c7-3b18-4113-87dd-192f829ac5a4, type SampleCustomPicture
18:36:48,889 ERROR [MissingListener] MISS: 5a6b944a-e939-4ec7-97e7-f47358a17601, type SampleCustomPicture
18:36:48,889 ERROR [MissingListener] MISS: 1a874e44-6171-47cd-b141-bdb9064879cd, type SampleCustomPicture
18:36:48,889 ERROR [MissingListener] MISS: 872308c0-53c9-406e-b535-af5bb376d5ec, type SampleCustomPicture
18:36:48,889 ERROR [MissingListener] MISS: e0589cd8-8fef-455d-b3b7-97bce5204af0, type SampleCustomPicture
18:36:48,889 ERROR [MissingListener] MISS: 9c2c2a8d-30df-42f4-8240-12bf6f13084c, type SampleCustomPicture
18:36:48,889 ERROR [MissingListener] MISS: 5be7dd58-017a-417d-a1fb-9d989c9529d3, type SampleCustomPicture
18:36:48,890 ERROR [MissingListener] MISS: 14807d55-6145-4878-a2be-f1368ba1d051, type SampleCustomPicture
18:36:48,890 ERROR [MissingListener] MISS: 87447550-253e-4a45-9c0c-270e46a8e2a5, type SampleCustomPicture
18:36:48,890 ERROR [MissingListener] MISS: 742120c3-c296-4e4f-b419-587e9de89ad6, type SampleCustomPicture
18:36:48,890 ERROR [MissingListener] MISS: 2c8afc77-b1ec-42c0-b04b-183c0f086ea6, type SampleCustomPicture
18:36:48,890 ERROR [MissingListener] MISS: 4b77e157-898e-4bc8-b62c-d21043097ffa, type SampleCustomPicture
18:36:48,890 ERROR [MissingListener] MISS: f50ac84e-66d9-4b3d-97a7-1c01ce387dfd, type SampleCustomPicture
18:36:48,890 ERROR [MissingListener] MISS: 6b657cd6-b0b8-45d8-9767-1b6301ec4a8f, type SampleCustomPicture
18:36:48,891 ERROR [MissingListener] MISS: c89ffd5b-c854-4627-a319-8e8ce7763999, type SampleCustomPicture
18:36:48,891 ERROR [MissingListener] MISS: 7c34334b-3a7e-4c2c-871d-b544de85b436, type SampleCustomPicture
18:36:48,891 ERROR [MissingListener] MISS: 937a37a3-5267-462e-aa79-6f6b1c22b340, type SampleCustomPicture
18:36:48,891 ERROR [MissingListener] MISS: 5edaf57a-61eb-4e14-a8a6-b04a89f51d85, type SampleCustomPicture
18:36:48,891 ERROR [MissingListener] MISS: 20a45f6c-bc02-4325-98aa-4d3b7818b64d, type SampleCustomPicture
18:36:48,891 ERROR [MissingListener] MISS: 1d6d75c4-21e0-4345-86f6-b2b51a3dbc41, type SampleCustomPicture
18:36:48,891 ERROR [MissingListener] MISS: 84cf6451-c945-4119-a359-66540dd41af6, type SampleCustomPicture
18:36:48,891 ERROR [MissingListener] MISS: b15f213d-278b-4deb-ac53-2199d0bf915a, type SampleCustomPicture
18:36:48,892 ERROR [MissingListener] MISS: 5ebee2c0-0f7c-4b80-a2a1-da350dc31bff, type SampleCustomPicture
18:36:48,892 ERROR [MissingListener] MISS: e4914ff2-4568-4681-9e22-e7057a69d490, type SampleCustomPicture
18:36:48,892 ERROR [MissingListener] MISS: 09d40d09-2905-4c10-a212-c18834d29879, type SampleCustomPicture
18:36:48,892 ERROR [MissingListener] MISS: 4a943e3a-4362-4aae-bd07-fdd270701073, type SampleCustomPicture
18:36:48,892 ERROR [MissingListener] MISS: 1d8cc4cf-58dc-425f-8f76-d90d9fb2143e, type SampleCustomPicture
18:36:48,892 ERROR [MissingListener] MISS: 3a5ac7fc-9ac4-4021-b44c-2a9edb84b76d, type SampleCustomPicture
